Survived,Pclass,Sex,Age,Fare
0,3,female,9.0,31.275
0,3,male,9.0,46.9
0,3,male,29.0,7.8958
1,2,female,24.0,26.0
1,3,male,25.0,0.0
0,1,male,22.0,135.6333
0,1,male,30.0,27.7208
1,2,female,50.0,26.0
0,3,male,39.0,7.925
0,2,male,24.0,13.0
0,2,male,28.0,13.0
0,3,male,20.0,7.05
1,3,male,4.0,15.2458
1,2,female,36.0,13.0
0,3,male,39.0,31.275
0,3,male,21.0,8.4333
0,3,male,18.0,20.2125
1,2,female,34.0,13.0
0,3,male,30.0,7.2292
1,1,female,39.0,79.65
0,3,male,18.0,8.3
1,1,female,40.0,134.5
1,3,female,27.0,11.1333
0,3,female,45.0,27.9
1,1,female,30.0,31.0
0,3,male,25.0,7.225
1,3,male,45.0,8.05
1,3,female,24.0,7.8792
0,3,male,35.0,7.05
0,3,male,17.0,69.55
1,1,female,62.0,80.0
0,2,male,36.0,10.5
0,3,male,37.0,16.1
0,3,female,45.0,7.75
0,2,male,48.0,13.0
